home,away,date,scoreline,odds,market_implied,model_prob,edge,market_home,elo_home,xG_home,xG_away
英格兰,刚果民主共和国,07-02 00:00,4:0,11.0,0.0665,0.0306,-0.0359,0.83,0.7964,1.61,0.6
英格兰,刚果民主共和国,07-02 00:00,0:0,12.0,0.061,0.0,-0.061,0.83,0.7964,1.61,0.6
英格兰,刚果民主共和国,07-02 00:00,4:1,20.0,0.0366,0.0184,-0.0182,0.83,0.7964,1.61,0.6
英格兰,刚果民主共和国,07-02 00:00,0:1,22.0,0.0333,0.066,0.0327,0.83,0.7964,1.61,0.6
英格兰,刚果民主共和国,07-02 00:00,5:0,24.0,0.0305,0.0098,-0.0206,0.83,0.7964,1.61,0.6
英格兰,刚果民主共和国,07-02 00:00,2:2,28.0,0.0261,0.0,-0.0261,0.83,0.7964,1.61,0.6
英格兰,刚果民主共和国,07-02 00:00,1:2,37.0,0.0198,0.0319,0.0121,0.83,0.7964,1.61,0.6
英格兰,刚果民主共和国,07-02 00:00,3:2,40.0,0.0183,0.0138,-0.0045,0.83,0.7964,1.61,0.6
英格兰,刚果民主共和国,07-02 00:00,5:1,50.0,0.0146,0.0059,-0.0087,0.83,0.7964,1.61,0.6
英格兰,刚果民主共和国,07-02 00:00,4:2,75.0,0.0098,0.0055,-0.0042,0.83,0.7964,1.61,0.6
英格兰,刚果民主共和国,07-02 00:00,0:2,90.0,0.0081,0.0198,0.0117,0.83,0.7964,1.61,0.6
英格兰,刚果民主共和国,07-02 00:00,5:2,150.0,0.0049,0.0018,-0.0031,0.83,0.7964,1.61,0.6
英格兰,刚果民主共和国,07-02 00:00,2:3,175.0,0.0042,0.0051,0.001,0.83,0.7964,1.61,0.6
英格兰,刚果民主共和国,07-02 00:00,3:3,200.0,0.0037,0.0,-0.0037,0.83,0.7964,1.61,0.6
英格兰,刚果民主共和国,07-02 00:00,1:3,200.0,0.0037,0.0064,0.0027,0.83,0.7964,1.61,0.6
英格兰,刚果民主共和国,07-02 00:00,0:3,350.0,0.0021,0.004,0.0019,0.83,0.7964,1.61,0.6
英格兰,刚果民主共和国,07-02 00:00,1:4,700.0,0.001,0.001,-0.0001,0.83,0.7964,1.61,0.6
英格兰,刚果民主共和国,07-02 00:00,2:4,700.0,0.001,0.0008,-0.0003,0.83,0.7964,1.61,0.6
英格兰,刚果民主共和国,07-02 00:00,0:4,1000.0,0.0007,0.0006,-0.0001,0.83,0.7964,1.61,0.6
英格兰,刚果民主共和国,07-02 00:00,0:5,1000.0,0.0007,0.0001,-0.0007,0.83,0.7964,1.61,0.6
英格兰,刚果民主共和国,07-02 00:00,1:5,1000.0,0.0007,0.0001,-0.0006,0.83,0.7964,1.61,0.6
英格兰,刚果民主共和国,07-02 00:00,2:5,1000.0,0.0007,0.0001,-0.0006,0.83,0.7964,1.61,0.6
比利时,塞内加尔,07-02 04:00,1:1,5.4,0.133,0.0,-0.133,0.58,0.5738,1.21,1.0
比利时,塞内加尔,07-02 04:00,1:0,6.5,0.1105,0.1333,0.0228,0.58,0.5738,1.21,1.0
比利时,塞内加尔,07-02 04:00,2:1,6.75,0.1064,0.0806,-0.0258,0.58,0.5738,1.21,1.0
比利时,塞内加尔,07-02 04:00,0:0,8.5,0.0845,0.0,-0.0845,0.58,0.5738,1.21,1.0
比利时,塞内加尔,07-02 04:00,2:0,9.0,0.0798,0.0809,0.0011,0.58,0.5738,1.21,1.0
比利时,塞内加尔,07-02 04:00,0:1,9.0,0.0798,0.1092,0.0294,0.58,0.5738,1.21,1.0
比利时,塞内加尔,07-02 04:00,1:2,11.0,0.0653,0.066,0.0007,0.58,0.5738,1.21,1.0
比利时,塞内加尔,07-02 04:00,2:2,13.0,0.0552,0.0,-0.0552,0.58,0.5738,1.21,1.0
比利时,塞内加尔,07-02 04:00,3:1,16.0,0.0449,0.0326,-0.0123,0.58,0.5738,1.21,1.0
比利时,塞内加尔,07-02 04:00,0:2,17.0,0.0422,0.0543,0.0121,0.58,0.5738,1.21,1.0
比利时,塞内加尔,07-02 04:00,3:0,19.0,0.0378,0.0328,-0.005,0.58,0.5738,1.21,1.0
比利时,塞内加尔,07-02 04:00,3:2,29.0,0.0248,0.0162,-0.0085,0.58,0.5738,1.21,1.0
比利时,塞内加尔,07-02 04:00,1:3,30.0,0.0239,0.0219,-0.002,0.58,0.5738,1.21,1.0
比利时,塞内加尔,07-02 04:00,4:1,45.0,0.016,0.0099,-0.0061,0.58,0.5738,1.21,1.0
比利时,塞内加尔,07-02 04:00,2:3,45.0,0.016,0.0133,-0.0027,0.58,0.5738,1.21,1.0
比利时,塞内加尔,07-02 04:00,0:3,50.0,0.0144,0.018,0.0037,0.58,0.5738,1.21,1.0
比利时,塞内加尔,07-02 04:00,4:0,55.0,0.0131,0.01,-0.0031,0.58,0.5738,1.21,1.0
比利时,塞内加尔,07-02 04:00,3:3,70.0,0.0103,0.0,-0.0103,0.58,0.5738,1.21,1.0
比利时,塞内加尔,07-02 04:00,4:2,80.0,0.009,0.0049,-0.004,0.58,0.5738,1.21,1.0
比利时,塞内加尔,07-02 04:00,1:4,100.0,0.0072,0.0054,-0.0017,0.58,0.5738,1.21,1.0
比利时,塞内加尔,07-02 04:00,5:1,120.0,0.006,0.0024,-0.0036,0.58,0.5738,1.21,1.0
比利时,塞内加尔,07-02 04:00,5:0,150.0,0.0048,0.0024,-0.0024,0.58,0.5738,1.21,1.0
比利时,塞内加尔,07-02 04:00,0:4,175.0,0.0041,0.0045,0.0004,0.58,0.5738,1.21,1.0
比利时,塞内加尔,07-02 04:00,2:4,175.0,0.0041,0.0033,-0.0008,0.58,0.5738,1.21,1.0
比利时,塞内加尔,07-02 04:00,5:2,250.0,0.0029,0.0012,-0.0017,0.58,0.5738,1.21,1.0
比利时,塞内加尔,07-02 04:00,0:5,500.0,0.0014,0.0009,-0.0005,0.58,0.5738,1.21,1.0
