world_cup_year,backtest_stage,diagnostic_dimension,diagnostic_value,matches,outcome_accuracy,outcome_log_loss,outcome_brier,avg_top_probability,avg_actual_outcome_probability,upset_rate,high_confidence_miss_rate
combined,knockout,confederation_pair,CAF_vs_UEFA,5,0.6,1.015915098557459,0.6107570927540753,0.5223119701489066,0.39255549008886476,0.4,0.0
combined,knockout,confederation_pair,CONCACAF_vs_CONMEBOL,1,1.0,0.3961363541873728,0.16414442658603484,0.6729149349124076,0.6729149349124076,0.0,0.0
combined,knockout,confederation_pair,CONCACAF_vs_UEFA,1,1.0,0.7083511717781881,0.38726472020952846,0.4924555029567242,0.4924555029567242,0.0,0.0
combined,knockout,confederation_pair,CONMEBOL_vs_UEFA,9,0.3333333333333333,1.1536784640332192,0.7126484111503442,0.4762149174809038,0.33460024687625517,0.6666666666666666,0.1111111111111111
combined,knockout,confederation_pair,UEFA_vs_UEFA,12,0.5,1.0071417676555738,0.6029238661966972,0.449616032909119,0.3797753967286665,0.5,0.0
combined,knockout,favorite_matchup_profile,CONMEBOL_favorite_vs_AFC,2,1.0,0.32018664876677005,0.11723446788117178,0.726075366718157,0.726075366718157,0.0,0.0
combined,knockout,favorite_matchup_profile,CONMEBOL_favorite_vs_CONCACAF,1,1.0,0.3961363541873728,0.16414442658603484,0.6729149349124076,0.6729149349124076,0.0,0.0
combined,knockout,favorite_matchup_profile,CONMEBOL_favorite_vs_UEFA,8,0.25,1.18260742060002,0.7336001843511776,0.4860387010332789,0.32672219660304913,0.75,0.125
combined,knockout,favorite_matchup_profile,UEFA_favorite_vs_AFC,2,0.5,0.8797257931768052,0.5061435422117769,0.5082822569949877,0.44241665659426815,0.5,0.0
combined,knockout,favorite_matchup_profile,UEFA_favorite_vs_CAF,5,0.6,1.015915098557459,0.6107570927540753,0.5223119701489066,0.39255549008886476,0.4,0.0
combined,knockout,favorite_matchup_profile,UEFA_favorite_vs_CONCACAF,1,1.0,0.7083511717781881,0.38726472020952846,0.4924555029567242,0.4924555029567242,0.0,0.0
combined,knockout,favorite_matchup_profile,UEFA_favorite_vs_CONMEBOL,1,1.0,0.9222468114988128,0.5450342255436759,0.397624649061903,0.397624649061903,0.0,0.0
combined,knockout,favorite_matchup_profile,UEFA_favorite_vs_UEFA,12,0.5,1.0071417676555738,0.6029238661966972,0.449616032909119,0.3797753967286665,0.5,0.0
2018,all,same_confederation,False,49,0.5918367346938775,0.9492394251524953,0.5619050066218697,0.5292452279559974,0.42600761075333476,0.40816326530612246,0.10204081632653061
2018,all,same_confederation,True,15,0.4,1.0351002694290128,0.6261220131204835,0.4634927860816138,0.37098240284588296,0.6,0.0
2018,all,confederation_pair,AFC_vs_CAF,3,0.3333333333333333,1.1086392090948634,0.6686517566817262,0.4129874816149017,0.3387766997874311,0.6666666666666666,0.0
2018,all,confederation_pair,AFC_vs_CONCACAF,1,1.0,0.6785990609618657,0.36779401219808644,0.507327229270719,0.507327229270719,0.0,0.0
2018,all,confederation_pair,AFC_vs_CONMEBOL,3,0.6666666666666666,0.940516415386457,0.5371303140969771,0.6120346171816189,0.4628505592340235,0.3333333333333333,0.3333333333333333
2018,all,confederation_pair,AFC_vs_UEFA,9,0.6666666666666666,0.9288126427576453,0.5313820237293949,0.5254021160979385,0.4359157983798887,0.3333333333333333,0.1111111111111111
2018,all,confederation_pair,CAF_vs_CONCACAF,1,0.0,1.2384843135713894,0.8020368383598641,0.505936246740505,0.2898231662407937,1.0,0.0
2018,all,confederation_pair,CAF_vs_CONMEBOL,3,1.0,0.5644911496754076,0.2804365956344694,0.5708182713283984,0.5708182713283984,0.0,0.0
2018,all,confederation_pair,CAF_vs_UEFA,8,0.75,0.8407098600240754,0.49798106857767716,0.5277105069449275,0.4556089666744362,0.25,0.125
2018,all,confederation_pair,CONCACAF_vs_CONMEBOL,2,1.0,0.31393479395527724,0.11597947593024034,0.7330363088606695,0.7330363088606695,0.0,0.0
2018,all,confederation_pair,CONCACAF_vs_UEFA,6,0.3333333333333333,0.9874775675729602,0.5922968264212524,0.5541335107852732,0.4188281799933848,0.6666666666666666,0.0
